Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec),,Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
1,1x1,0,0,,1,2x2,0,0
2,3x3,0,0,,2,4x4,0,0
3,5x5,0,0,,3,6x6,0,0
4,7x7,0,0,,4,8x8,0,0
5,9x9,0,0,,5,10x10,0,0
6,11x11,0,0,,6,12x12,0,0
7,13x13,0,0,,7,14x14,0,0
8,15x15,0,0,,8,16x16,0,0
9,17x17,0,0,,9,18x18,0,0
10,19x19,0,0,,10,20x20,0,0
11,21x21,0,0,,11,22x22,0,0
12,23x23,0,0,,12,24x24,0,0
13,25x25,0,0,,13,26x26,0,0
14,27x27,0,0,,14,28x28,0,0
15,29x29,0,0,,15,30x30,0,0
16,31x31,0,0,,16,32x32,0,0
17,33x33,0,1,,17,34x34,0,1
18,35x35,0,1,,18,36x36,0,1
19,37x37,0,1,,19,38x38,1,1
20,39x39,1,1,,20,40x40,0,1
21,41x41,1,1,,21,42x42,1,1
22,43x43,1,1,,22,44x44,1,1
23,45x45,1,1,,23,46x46,1,1
24,47x47,1,1,,24,48x48,1,1
25,49x49,1,1,,25,50x50,1,1
26,51x51,1,2,,26,52x52,1,1
27,53x53,1,2,,27,54x54,1,2
28,55x55,1,2,,28,56x56,1,2
29,57x57,2,2,,29,58x58,1,2
30,59x59,1,2,,30,60x60,2,2
31,61x61,2,2,,31,62x62,2,2
32,63x63,2,2,,32,64x64,2,2
33,65x65,2,2,,33,66x66,2,2
34,67x67,2,2,,34,68x68,2,2
35,69x69,2,2,,35,70x70,2,2
36,71x71,2,2,,36,72x72,2,2
37,73x73,2,3,,37,74x74,2,2
38,75x75,2,3,,38,76x76,2,3
39,77x77,2,3,,39,78x78,2,3
40,79x79,2,3,,40,80x80,3,3
41,81x81,3,3,,41,82x82,3,3
42,83x83,3,3,,42,84x84,3,3
43,85x85,3,3,,43,86x86,3,3
44,87x87,3,4,,44,88x88,4,4
45,89x89,4,4,,45,90x90,4,4
46,91x91,4,4,,46,92x92,4,4
47,93x93,4,5,,47,94x94,4,5
48,95x95,5,5,,48,96x96,5,5
49,97x97,5,5,,49,98x98,5,5
50,99x99,5,6,,50,100x100,5,6
51,101x101,6,6,,51,102x102,6,6
52,103x103,6,6,,52,104x104,6,6
53,105x105,6,7,,53,106x106,7,7
54,107x107,7,7,,54,108x108,7,7
55,109x109,7,8,,55,110x110,7,7
56,111x111,8,8,,56,112x112,8,8
57,113x113,8,9,,57,114x114,8,8
58,115x115,9,9,,58,116x116,9,9
59,117x117,9,9,,59,118x118,9,9
60,119x119,10,10,,60,120x120,10,10
61,121x121,11,11,,61,122x122,10,10
62,123x123,11,11,,62,124x124,11,11
63,125x125,11,11,,63,126x126,11,11
64,127x127,12,12,,64,128x128,12,12
65,129x129,12,13,,65,130x130,12,12
66,131x131,13,13,,66,132x132,13,13
67,133x133,14,14,,67,134x134,14,13
68,135x135,15,14,,68,136x136,14,14
69,137x137,15,15,,69,138x138,15,15
70,139x139,15,15,,70,140x140,16,15
71,141x141,16,16,,71,142x142,16,16
72,143x143,17,17,,72,144x144,17,17
73,145x145,18,17,,73,146x146,18,17
74,147x147,18,19,,74,148x148,19,18
75,149x149,19,19,,75,150x150,19,20
76,151x151,20,20,,76,152x152,29,30
77,153x153,21,21,,77,154x154,22,20
78,155x155,22,21,,78,156x156,22,21
79,157x157,22,23,,79,158x158,24,22
80,159x159,36,39,,80,160x160,24,23
81,161x161,31,47,,81,162x162,25,23
82,163x163,34,37,,82,164x164,25,24
83,165x165,29,26,,83,166x166,27,26
84,167x167,30,30,,84,168x168,28,26
85,169x169,28,27,,85,170x170,28,27
86,171x171,29,29,,86,172x172,30,29
87,173x173,30,29,,87,174x174,31,30
88,175x175,31,30,,88,176x176,33,31
89,177x177,32,31,,89,178x178,33,32
90,179x179,33,32,,90,180x180,34,32
91,181x181,34,33,,91,182x182,35,33
92,183x183,36,34,,92,184x184,36,34
93,185x185,37,35,,93,186x186,38,36
94,187x187,39,37,,94,188x188,39,37
95,189x189,40,39,,95,190x190,40,45
96,191x191,43,39,,96,192x192,43,39
97,193x193,42,40,,97,194x194,43,40
98,195x195,44,41,,98,196x196,44,42
99,197x197,46,45,,99,198x198,46,43
100,199x199,68,67,,100,200x200,51,56